name,address,province,city,district,business_scope,contact,phone,registered_capital,registered_capital_raw,business_status,industry_code,tech_keywords,credit_score,role,is_verified,verification_status,source,source_company_id,source_url,source_query,uscc,establishment_date,website,phones_count,crucial_count,tags,raw_industries,scraped_at
六安市慧智五金加工有限公司,安徽省六安市金安区孙岗镇黄小店村,安徽省,六安市,金安区,"五金加工,五金制品加工,塑料制品加工,金属制品零部件加工,包装材料,箱包加工,汽车配件零部件加工研磨,灯饰零部件加工,五金件压铸,注塑、研磨",金*,00000000000,500.0,500万人民币,存续,,"刀剪及类似日用金属工具制造,其他未列明制造业",80.0,enterprise,true,approved,tianxiagongchang.com,2424765,https://www.tianxiagongchang.com/detail/2424765_lu-an-shi-hui-zhi-wu-jin-jia-gong-you-xian-gong-si,五金加工,91341502MA2PD7L4XW,2017-09-26,,3,1,"存续,真实工厂","刀剪及类似日用金属工具制造,其他未列明制造业",2026-09-15T16:08:20.726521+00:00
重庆腾鸿五金加工有限公司,重庆市永川区陈食办事处王家岩村王家岩村民小组,重庆市,重庆市,永川区,五金加工、制造、销售,陈**,00000000000,60.0,60万人民币,存续,,"金属加工机械制造,其他金属制日用品制造",80.0,enterprise,true,approved,tianxiagongchang.com,1104370,https://www.tianxiagongchang.com/detail/1104370_chong-qing-teng-hong-wu-jin-jia-gong-you-xian-gong-si,五金加工,91500118MA608QMJ8K,2019-02-02,,1,1,"存续,真实工厂","金属加工机械制造,其他金属制日用品制造",2026-09-15T16:08:20.726521+00:00
南京信恒五金加工店,南京市江宁区东山街道高桥社区前潘村177号,江苏省,南京市,江宁区,五金加工,张*,00000000000,5.0,5万人民币,存续,,"其他金属加工机械制造,铸造机械制造",80.0,enterprise,true,approved,tianxiagongchang.com,268848,https://www.tianxiagongchang.com/detail/268848_nan-jing-xin-heng-wu-jin-jia-gong-dian,五金加工,92320115MA1QQ7206B,2009-05-04,,4,1,"存续,真实工厂","其他金属加工机械制造,铸造机械制造",2026-09-15T16:08:20.726521+00:00
惠州市仲恺高新区潼侨镇瑞和五金加工店,惠州市仲恺高新区陈江街道五一村委会五一利市围小组8号一楼厂房,广东省,惠州市,惠城区,五金加工（不含五金电镀）,叶**,00000000000,1.0,1万人民币,存续,,"金属结构制造,其他未列明制造业",80.0,enterprise,true,approved,tianxiagongchang.com,336686,https://www.tianxiagongchang.com/detail/336686_hui-zhou-shi-zhong-kai-gao-xin-qu-tong-qiao-zhen-rui-he-wu-jin-jia-gong-dian,五金加工,92441300L65132058C,2011-01-24,,1,1,"存续,真实工厂","金属结构制造,其他未列明制造业",2026-09-15T16:08:20.726521+00:00
泊头市峰云五金加工有限公司,河北省沧州市泊头市宋屯子村,河北省,沧州市,泊头市,五金加工**（依法须经批准的项目，经相关部门批准后方可开展经营活动）,王**,00000000000,10.0,10万人民币,存续,,"其他未列明金属制品制造,其他未列明制造业",80.0,enterprise,true,approved,tianxiagongchang.com,354763,https://www.tianxiagongchang.com/detail/354763_bo-tou-shi-feng-yun-wu-jin-jia-gong-you-xian-gong-si,五金加工,91130981MA07KFJE9L,2015-10-26,,3,3,"存续,真实工厂","其他未列明金属制品制造,其他未列明制造业",2026-09-15T16:08:20.726521+00:00
锡山区东亭康航五金加工场,锡山经济开发区凤威路128号,江苏省,无锡市,锡山区,五金加工,尹**,00000000000,2.0,2万人民币,存续,,"其他通用零部件制造,结构性金属制品制造",80.0,enterprise,true,approved,tianxiagongchang.com,371988,https://www.tianxiagongchang.com/detail/371988_xi-shan-qu-dong-ting-kang-hang-wu-jin-jia-gong-chang,五金加工,92320205MA1QXW7D0N,2011-08-17,,1,1,"存续,真实工厂","其他通用零部件制造,结构性金属制品制造",2026-09-15T16:08:20.726521+00:00
东莞贤稳五金加工有限公司,东莞市麻涌镇麻三村豪丰工业园翰光B座,广东省,东莞市,东莞市,"纸制品,五金加工及表面处理",林**,00000000000,30.0,30万人民币,存续,,金属表面处理及热处理加工,80.0,enterprise,true,approved,tianxiagongchang.com,427672,https://www.tianxiagongchang.com/detail/427672_dong-guan-xian-wen-wu-jin-jia-gong-you-xian-gong-si,五金加工,91441900097204666L,2014-04-09,,7,1,"存续,真实工厂",金属表面处理及热处理加工,2026-09-15T16:08:20.726521+00:00
东莞市东城利轩五金加工店,广东省东莞市东城街道文塔路125号之一104室,广东省,东莞市,东莞市,五金加工,刘**,00000000000,,,存续,,"金属结构制造,结构性金属制品制造",80.0,enterprise,true,approved,tianxiagongchang.com,550341,https://www.tianxiagongchang.com/detail/550341_dong-guan-shi-dong-cheng-li-xuan-wu-jin-jia-gong-dian,五金加工,92441900MA4WPA3C4Y,2016-08-29,,2,1,"存续,真实工厂","金属结构制造,结构性金属制品制造",2026-09-15T16:08:20.726521+00:00
惠州大亚湾美兴五金加工部,惠州大亚湾澳头岩前长青街三巷8号,广东省,惠州市,惠阳区,五金加工,蔡**,00000000000,5.0,5万人民币,存续,,"手工具制造,结构性金属制品制造",80.0,enterprise,true,approved,tianxiagongchang.com,599574,https://www.tianxiagongchang.com/detail/599574_hui-zhou-da-ya-wan-mei-xing-wu-jin-jia-gong-bu,五金加工,92441300MA4W8F542W,2015-07-15,,1,1,"存续,真实工厂","手工具制造,结构性金属制品制造",2026-09-15T16:08:20.726521+00:00
惠州大亚湾展宇五金加工店,惠州大亚湾澳头岩前村育英街四巷5号,广东省,惠州市,惠阳区,五金加工,黄**,00000000000,7.0,7万人民币,存续,,"手工具制造,金属表面处理及热处理加工",80.0,enterprise,true,approved,tianxiagongchang.com,599666,https://www.tianxiagongchang.com/detail/599666_hui-zhou-da-ya-wan-zhan-yu-wu-jin-jia-gong-dian,五金加工,92441300L771117993,2014-11-06,,3,1,"存续,真实工厂","手工具制造,金属表面处理及热处理加工",2026-09-15T16:08:20.726521+00:00
